date,state,fips,cases,newCases,deaths,newDeaths,tests,newTests,positive,newPositive,negative,newNegative
2021-01-15,Michigan,26,578294,2988,14539,39,579574,3001,579574,3001,,0
2021-01-15,Minnesota,27,443630,1627,5918,33,3142480,12245,443562,1627,2698918,10618
2021-01-15,Mississippi,28,248189,2342,5411,55,1471115,2342,248189,2342,1222926,0
2021-01-15,Missouri,29,464931,2613,6619,29,2145298,6774,434188,2231,1711110,4543
2021-01-15,Montana,30,88725,535,1086,7,88635,525,88635,525,,0
2021-01-15,Nebraska,31,181895,804,1904,19,880638,1831,180131,932,700507,899
2021-01-15,Nevada,32,258438,1975,3704,40,1267400,5809,258050,1878,1009350,3931
2021-01-15,New Hampshire,33,55500,722,908,11,573686,4085,55500,722,518186,3363
2021-01-15,New Jersey,34,616086,6365,20320,67,8676802,142565,616090,6369,8060712,136196
2021-01-15,New Mexico,35,161805,1262,2876,38,161805,1262,161805,1262,,0
2021-01-15,New York,36,1213179,19469,40203,206,1203550,19942,1203550,19942,,0
2021-01-15,North Carolina,37,661506,9973,7996,108,659840,8914,659840,8914,,0
2021-01-15,North Dakota,38,95621,236,1395,23,386819,688,95599,221,291220,467
2021-01-15,Northern Mariana Islands,69,128,0,2,0,17557,0,128,0,17429,0
2021-01-15,Ohio,39,814442,7149,10057,67,814442,7149,814442,7149,,0
2021-01-15,Oklahoma,40,348044,3538,2925,43,2937452,29085,348044,3538,2589408,25547
2021-01-15,Oregon,41,131296,1050,1763,26,130246,1137,130246,1137,,0
2021-01-15,Pennsylvania,42,760552,6111,18978,226,4195105,18566,754611,6047,3440494,12519
2021-01-15,Puerto Rico,72,119569,1138,1692,13,391926,1138,85954,1138,305972,0
2021-01-15,Rhode Island,44,104443,1057,2005,9,693152,4576,104443,1057,588709,3519
2021-01-15,South Carolina,45,375967,4787,6037,103,3609752,33632,375967,4787,3233785,28845
2021-01-15,South Dakota,46,104937,425,1629,15,389508,1336,104937,425,284571,911
2021-01-15,Tennessee,47,663486,5055,8233,78,676039,5557,676039,5557,,0
2021-01-15,Texas,48,2096526,24594,32212,393,2072903,27204,2072903,27204,,0
2021-01-15,Utah,49,320175,2616,1475,14,1692258,7920,320102,2543,1372156,5377
2021-01-15,Vermont,50,9734,161,163,1,284468,1703,9734,161,274734,1542
2021-01-15,Virgin Islands,78,2166,0,24,0,37925,0,2166,0,35759,0
2021-01-15,Virginia,51,422634,4795,5656,30,422634,4795,422634,4795,,0
2021-01-15,Washington,53,290288,2161,3972,23,283777,2575,283777,2575,,0
2021-01-15,West Virginia,54,106649,1430,1733,31,106649,1430,106649,1430,,0
2021-01-15,Wisconsin,55,563866,2706,5771,42,2991497,8477,563866,2706,2427631,5771
2021-01-15,Wyoming,56,48909,208,522,0,213710,2381,48909,208,164801,2173
2021-01-16,Alabama,01,420681,3153,6119,89,2107361,9705,420681,3153,1686680,6552
2021-01-16,Alaska,02,51347,184,220,0,50017,182,50017,182,,0
2021-01-16,Arizona,04,670234,7637,11248,188,3230083,19769,666901,8715,2563182,11054
2021-01-16,Arkansas,05,270178,2543,4293,30,2313335,13427,270178,2543,2043157,10884
2021-01-16,California,06,2975319,37564,33393,446,2900246,40622,2900246,40622,,0
2021-01-16,Colorado,08,375463,1816,5440,23,2305516,8834,373483,2025,1932033,6809
2021-01-16,Connecticut,09,223422,0,6594,0,223422,0,223422,0,,0
2021-01-16,Delaware,10,69372,645,1016,14,551163,2170,69372,645,481791,1525
2021-01-16,District of Columbia,11,33537,397,847,5,33537,397,33537,397,,0
2021-01-16,Florida,12,1560178,12119,24003,205,9495482,48116,1531830,11886,7963652,36230
2021-01-16,Georgia,13,785048,8563,11900,143,809663,8533,809663,8533,,0
2021-01-16,Guam,66,8450,7,127,1,100474,7,7481,7,92993,0
2021-01-16,Hawaii,15,24188,156,317,2,24813,229,24813,229,,0
2021-01-16,Idaho,16,155357,572,1607,1,602336,2916,154470,1112,447866,1804
2021-01-16,Illinois,17,1067230,5109,20021,145,1064667,5343,1064667,5343,,0
2021-01-16,Indiana,18,590093,3887,9287,41,2819864,13121,587049,3889,2232815,9232
2021-01-16,Iowa,19,304748,821,4321,64,1214729,2608,256403,915,958326,1693
2021-01-16,Kansas,20,259226,30,3502,-12,1100365,0,256134,0,844231,0
2021-01-16,Kentucky,21,327538,3033,3420,25,324325,3055,324325,3055,,0
2021-01-16,Louisiana,22,364853,0,8080,0,4593428,0,364853,0,4228575,0
2021-01-16,Maine,23,33219,438,507,30,33219,438,33219,438,,0
2021-01-16,Maryland,24,324203,3280,6541,47,3029238,16826,324031,3292,2705207,13534
2021-01-16,Massachusetts,25,465726,5799,13583,74,4355774,25196,465726,5799,3890048,19397
2021-01-16,Michigan,26,580296,2002,14658,119,581785,2211,581785,2211,,0
2021-01-16,Minnesota,27,445115,1485,5955,37,3152286,9806,445047,1485,2707239,8321
2021-01-16,Mississippi,28,250869,2680,5481,70,1473795,2680,250869,2680,1222926,0
2021-01-16,Missouri,29,466829,1898,6644,25,2151922,6624,436199,2011,1715723,4613
2021-01-16,Montana,30,89056,331,1088,2,89056,421,89056,421,,0
2021-01-16,Nebraska,31,181895,0,1904,0,882872,2234,180910,779,701962,1455
2021-01-16,Nevada,32,260222,1784,3764,60,1272672,5272,260090,2040,1012582,3232
2021-01-16,New Hampshire,33,55945,445,927,19,576327,2641,55945,445,520382,2196
2021-01-16,New Jersey,34,622085,5999,20414,94,8682801,5999,622089,5999,8060712,0
2021-01-16,New Mexico,35,162893,1088,2912,36,162893,1088,162893,1088,,0
2021-01-16,New York,36,1229124,15945,40376,173,1219548,15998,1219548,15998,,0
2021-01-16,North Carolina,37,669284,7778,8060,64,667826,7986,667826,7986,,0
2021-01-16,North Dakota,38,95736,115,1403,8,387295,476,95714,115,291581,361
2021-01-16,Northern Mariana Islands,69,128,0,2,0,17557,0,128,0,17429,0
2021-01-16,Ohio,39,821507,7065,10135,78,821507,7065,821507,7065,,0
2021-01-16,Oklahoma,40,351665,3621,2952,27,2952665,15213,351665,3621,2601000,11592
2021-01-16,Oregon,41,132412,1116,1800,37,131258,1012,131258,1012,,0
2021-01-16,Pennsylvania,42,767074,6522,19188,210,4217008,21903,761777,7166,3455231,14737
2021-01-16,Puerto Rico,72,120138,569,1703,11,392495,569,86523,569,305972,0
2021-01-16,Rhode Island,44,104443,0,2005,0,696535,3383,105472,1029,591063,2354
2021-01-16,South Carolina,45,382422,6455,6108,71,3663312,53560,382422,6455,3280890,47105
2021-01-16,South Dakota,46,105278,341,1633,4,390520,1012,105278,341,285242,671
2021-01-16,Tennessee,47,668142,4656,8276,43,680847,4808,680847,4808,,0
2021-01-16,Texas,48,2114858,18332,32581,369,2097560,24657,2097560,24657,,0
2021-01-16,Utah,49,322252,2077,1486,11,1698697,6439,322252,2150,1376445,4289
2021-01-16,Vermont,50,9915,181,163,0,286256,1788,9915,181,276341,1607
2021-01-16,Virgin Islands,78,2166,0,24,0,37925,0,2166,0,35759,0
2021-01-16,Virginia,51,429391,6757,5706,50,429391,6757,429391,6757,,0
2021-01-16,Washington,53,290896,608,3971,-1,285970,2193,285970,2193,,0
2021-01-16,West Virginia,54,108124,1475,1761,28,108124,1475,108124,1475,,0
2021-01-16,Wisconsin,55,566275,2409,5906,135,2999001,7504,566275,2409,2432726,5095
2021-01-16,Wyoming,56,49068,159,522,0,213869,159,49068,159,164801,0
2021-01-17,Alabama,01,422598,1917,6120,1,2116033,8672,422598,1917,1693435,6755
2021-01-17,Alaska,02,51630,283,220,0,50296,279,50296,279,,0
2021-01-17,Arizona,04,673882,3648,11266,18,3248239,18156,673882,6981,2574357,11175
2021-01-17,Arkansas,05,271154,976,4311,18,2324884,11549,271154,976,2053730,10573
2021-01-17,California,06,3006866,31547,33593,200,2942475,42229,2942475,42229,,0
2021-01-17,Colorado,08,376921,1458,5454,14,2313487,7971,374981,1498,1938506,6473
2021-01-17,Connecticut,09,223422,0,6594,0,223422,0,223422,0,,0
2021-01-17,Delaware,10,70294,922,1016,0,554755,3592,70294,922,484461,2670
2021-01-17,District of Columbia,11,33851,314,850,3,33851,314,33851,314,,0
2021-01-17,Florida,12,1571271,11093,24136,133,9572867,77385,1542567,10737,8030300,66648
2021-01-17,Georgia,13,791322,6274,11906,6,815995,6332,815995,6332,,0
